itemId,itemNm,brandNm,displayPrc,strikeOutPrc,siteNm,salestrNm,itemLnkd,itemImgUrl,itemOrdQty,itemOrdQtyTxt,page
1000756355229,[쓱닷컴 단독 이벤트] 비상온리원 키/초/중 0원 체험+신청 시 전원 신세계 3만+다이소 5천원 증정!,VISANG,0,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000756355229&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/29/52/35/item/1000756355229_i1_500.jpg,0,주목할만한 상품,7
1000051008685,[단독혜택가] 26SS 인기 원피스/블라우스 ~50% OFF+추가쿠폰,마리끌레르,17920,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000051008685&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/85/86/00/item/1000051008685_i1_500.jpg,709,주목할만한 상품,8
1000710834794,부드럽고 편한 여성 브라,,13500,,,emart NE.O.004,https://www.ssg.com/item/dealItemView.ssg?itemId=1000710834794&siteNo=7009&salestrNo=2551,https://sitem.ssgcdn.com/94/47/83/item/1000710834794_i1_500.jpg,102,주목할만한 상품,8
1000540015190,"버츄오 팝 GCV2 에스프레소 캡슐커피머신 화이트,블랙",네스프레소,88999,90815,,S.COM몰,https://www.ssg.com/item/itemView.ssg?itemId=1000540015190&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/90/51/01/item/1000540015190_i1_500.jpg,0,주목할만한 상품,8
1000808850772,[역시즌] 여성 벨티드 롱 다운 2종 택1,코오롱스포츠,318060,372000,신세계백화점,대구신세계,https://www.ssg.com/item/itemView.ssg?itemId=1000808850772&siteNo=6009&salestrNo=1019,https://sitem.ssgcdn.com/72/07/85/item/1000808850772_i1_500.jpg,16,주목할만한 상품,8
1000622346634,미국 어린이 청소년 성장기 영양제품 (피크하이트/프라임하이트/닥터스그로우업/브레인),Bone Science,65000,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000622346634&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/34/66/34/item/1000622346634_i1_500.jpg,0,주목할만한 상품,8
1000630216311,[BEST] 26 신상 SSG 단독 메리제인/여름 슈즈 단 하루 특가  40% + 추가 쿠폰 할인!,스케쳐스,107100,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000630216311&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/11/63/21/item/1000630216311_i1_500.jpg,0,주목할만한 상품,8
1000555454905,비타500 특가전,광동,26900,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000555454905&siteNo=6001&salestrNo=6005,https://sitem.ssgcdn.com/05/49/45/item/1000555454905_i1_500.jpg,0,주목할만한 상품,8
1000145593565,양념LA갈비 500g x 2팩 외 양념육 모음전 (돈마호크/갈비/불고기),강강술래,36900,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000145593565&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/65/35/59/item/1000145593565_i1_500.jpg,458,주목할만한 상품,8
1000050842275,[비밀특가][시몬스] 침대/매트리스/토퍼 비밀최저가,시몬스,1441150,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000050842275&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/75/22/84/item/1000050842275_i1_500.jpg,209,주목할만한 상품,8
1000808374065,25SS 디스커버리정상가 169000 프레시벤트 여성 미드 바람막이 WJ95,디스커버리,86697,101400,신세계백화점,하남점,https://www.ssg.com/item/itemView.ssg?itemId=1000808374065&siteNo=6009&salestrNo=1018,https://sitem.ssgcdn.com/65/40/37/item/1000808374065_i1_500.jpg,16,주목할만한 상품,8
1000114810229,라이트 리플렉팅 루미나이징 블러쉬&스틱,나스,69700,,신세계백화점,본점,https://www.ssg.com/item/dealItemView.ssg?itemId=1000114810229&siteNo=6009&salestrNo=1002,https://sitem.ssgcdn.com/29/02/81/item/1000114810229_i1_500.jpg,2004,주목할만한 상품,8
1000585432400,스페인 정통 에스파듀 SSG 특가,나귀사,127067,,,S.COM몰,https://www.ssg.com/item/dealItemView.ssg?itemId=1000585432400&siteNo=6004&salestrNo=6005,https://sitem.ssgcdn.com/00/24/43/item/1000585432400_i1_500.jpg,12,주목할만한 상품,8
